"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","30225","Placing the order","","2026-05-17","broken","2026-05-17","","optimiseEndUsingSplLoc.spec.js","",""
"","5401","Logina and Handle the all =COntext","","2026-05-17","passed","2026-05-17","","client.spec.js","",""
"","14622","DropDownAndRadio","","2026-05-17","passed","2026-05-17","","workingwithdropAndRadio.spec.js","",""
"","2826","usageof Special locators","","2026-05-17","passed","2026-05-17","","SplLocator.spec.js","",""
"","9571","order for ADIDAS ORIGINAL","","2026-05-17","failed","2026-05-17","","dataset.spec.js","",""
"","7785","order for ZARA COAT 3","","2026-05-17","failed","2026-05-17","","dataset.spec.js","",""
"","30221","Placing the order","","2026-05-17","broken","2026-05-17","","ENDTOENDPOM.spec.js","",""
"","10854","Placing the order","","2026-05-17","passed","2026-05-17","","CustomFixture.spec.js","",""
"","5018","handling the window","","2026-05-17","passed","2026-05-17","","Retryparallelseq.spec.js","",""
"","30268","Placing the order","","2026-05-17","broken","2026-05-17","","EndToENDD.spec.js","",""
"","9412","Diret to the page","","2026-05-17","passed","2026-05-17","","UIautomtion.spec.js","",""
"","13045","handling the window","","2026-05-17","passed","2026-05-17","","workingwithdropAndRadio.spec.js","",""
"","5176","@web DropDownAndRadio","","2026-05-17","passed","2026-05-17","","Retryparallelseq.spec.js","",""
"","7217","@web workingwithDialogAndFrame","","2026-05-17","passed","2026-05-17","","framePopup.spec.js","",""
